中文名,外文名,ICAO代码,IATA代码,通航日期,所属地区,飞行区等级,机场类型,地区管理,航站楼面积,机位数量,跑道长度,航线数量,通航城市,旅客吞吐量,货邮吞吐量,起降架次,运营机构,开通城市,总投资,跑&nbsp;&nbsp;&nbsp;&nbsp;道,轨道交通线路站点,铁&nbsp;&nbsp;&nbsp;&nbsp;路,旅客捷运系统,枢纽航司,地&nbsp;&nbsp;&nbsp;&nbsp;址,安全管理机构,设计旅客年吞吐量,设计货邮年吞吐量,东跑道长度,西跑道长度,跑道宽度,客运航线,地理位置,始建时间,航站楼数量,机场地址,通航时间,机场代码,机场性质
成都天府国际机场,Chengdu Tianfu International Airport,ZUTF,TFU,2021年6月27日,中国 四川省 成都市,4F,民用运输机场,中国民用航空西南地区管理局,719600 m² （截至2021年6月）,210 个 （截至2021年6月）,4000米、3800米、3200米，共3条,70 条 [109] （2024年4月）,151座 （2022/2023年冬春航季）,4478.6 万人次 [86] [99] （2023年）,81164.9 吨 （2022年）,120270架次 （2022年）,四川省机场集团有限公司成都天府国际机场分公司 成都天府国际机场管理委员会,,,,,,,,,,,,,,,,,,,,,,
营口兰旗机场,Yingkou Lanqi Airport,ZYYK,YKH,2016年2月3日,中国辽宁省营口市,4C级,民用运输机场,中国民用航空东北地区管理局,20000 m² （截至2022年12月）,6 个 （截至2022年12月）,2500 m （截至2022年12月）,7 条 （2022/2023年冬春航季）,10座（2022/2023年冬春航季）,151526 人次 （2021年）,801.3 吨 （2021年）,1899架次（2021年）,海航集团有限公司 营口机场有限公司,,,,,,,,,,,,,,,,,,,,,,
芜湖宣州机场,Wuhu Xuanzhou Airport,ZSWA,WHA,2021年4月30日,中国安徽省芜湖市、宣城市,4C级,民用运输机场,中国民用航空华东地区管理局,25000 m² （截至2021年4月）,41 个 （截至2021年4月）,2800 m （截至2021年4月）,28 条 （2023年夏秋航季）,35座（2023年夏秋航季）,387216 人次 （2022年）,5029.6 吨 （2022年）,12889架次（2022年）,芜湖宣城机场建设投资有限公司,,,,,,,,,,,,,,,,,,,,,,
乌兰察布集宁机场,ULANQAB JINING AIRPORT,ZBUC,UCB,2016年4月25日,中国内蒙古自治区乌兰察布市,4C,民用运输机场,中国民用航空华北地区管理局,35773 m² （截至2022年6月）,9 个 （截至2022年6月）,3200 m （截至2022年6月）,4 条 （2022年夏秋航季）,6座（2022年夏秋航季）,44571 人次 （2021年）,21.9 吨 （2021年）,2299架次（2021年）,内蒙古自治区民航机场集团有限责任公司 内蒙古乌兰察布民航机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
果洛大武机场,Guoluo Maqin Airport,ZLGL,GMQ,2016年7月1日,中国青海省果洛藏族自治州,4C级,民用运输机场,中国民用航空西南地区管理局,3000平方米（截至2020年4月）,4个（截至2020年4月）,3800米（截至2020年4月）,1条（截至2020年4月）,1个（截至2020年4月）,13.5125万人次（2019年）,1243.1吨（2019年）,1388架次（2019年）,西部机场集团青海机场有限公司,,,,,,,,,,,,,,,,,,,,,,
建三江湿地机场,Jiansanjiang Wetland Airport,ZYJS,JSJ,2017年10月29日,中国 黑龙江省 佳木斯市 富锦市,4C,民用运输机场,中国民用航空东北地区管理局,3000 m² （截至2015年8月）,4 个 （截至2015年8月）,2500 m （截至2015年8月）,4 条,,101426 人次 （2024年）,,2633 （2024年）,首都机场集团有限公司 黑龙江省机场管理集团有限公司 建三江湿地机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
海西茫崖机场,Haixi Mangya Airport,ZLHX,HTT,2015年6月26日,中国青海省海西蒙古族藏族自治州,4C,民用运输机场,中国民用航空西北地区管理局,3000 m² （截至2024年5月）,4 个 （截至2024年5月）,3600 m （截至2024年5月）,2 条 （2025年夏秋航季）,3座（2025年夏秋航季）,75554 人次 （2024年）,345.9 吨 （2024年）,1072架次（2024年）,西部机场集团 青海机场有限公司花土沟机场分公司,,,,,,,,,,,,,,,,,,,,,,
巴里坤大河机场,Balikun Dahe Airport,ZWLK,DHH,2025年7月11日,中国新疆维吾尔自治区巴里坤哈萨克自治县,4C,民用机场 [24],中国民用航空新疆管理局,4000 m² （截至2025年7月）,5 个 （截至2025年7月）,3000 m （截至2025年7月）,2 条 （2025年夏秋航季）,5座 （据2025航班时刻表显示）,,,,新疆机场（集团）有限责任公司,,,,,,,,,,,,,,,,,,,,,,
三沙永兴机场,Sansha Yongxing Airport,ZJYX,XYI,2016年12月22日,中国海南省三沙市,4C级,军民合用机场,中国民用航空中南地区管理局,3500平方米（截至2016年12月）,4个（截至2016年12月）,3000米（截至2016年12月）,1 条 （2022年夏秋航季）,1座（2022年夏秋航季）,36405 人次 （2021年）,200.2 吨 （2021年）,523架次（2021年）,海南机场设施股份有限公司 三沙永兴机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
绥芬河东宁机场,Suifenhe Dongning Airport,ZYSD,HSF,2024年12月28日,中国黑龙江省牡丹江市,4C,民用运输机场,中国民用航空东北地区管理局,4874 m² （截至2024年12月）,6 个 （截至2024年12月）,2500 m （截至2024年12月）,2 条 （2024/2025年冬春航季）,4座（2024/2025年冬春航季）,,,,黑龙江省机场管理集团有限公司,,,,,,,,,,,,,,,,,,,,,,
五大连池德都机场,Wudalianchi Dedu Airport,ZYDU,DTU,2017年11月22日,中国黑龙江省黑河市五大连池市,4C级,民用运输机场,中国民用航空东北地区管理局,3000平方米（截止2017年11月）,4个（截至2017年11月）,2500米（截止2017年11月）,1条（截至2020年7月）,2个（截至2020年7月）,62942人次（2019年）,,1336架次（2019年）,黑龙江省机场管理集团有限公司 五大连池德都机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
亳州机场,Bozhou Airport,ZSBO,BZJ,2025年11月12日,中国安徽省亳州市,4C,民用运输机场,中国民用航空华东地区管理局,11600 m² （截至2025年11月）,9 个 （截至2025年11月）,2600 m （截至2025年11月）,4 条 （2025/2026年冬春航季）,8座（2025/2026年冬春航季）,,,,安徽民航机场集团有限公司 亳州机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
重庆巫山机场,Chongqing Wushan Airport,ZUWS,WSK,2019年8月16日,中国重庆市巫山县和奉节县,4C级,民用运输机场,中国民用航空西南地区管理局,3500平方米（截至2020年4月）,5个（截至2020年4月）,2600米（截至2020年4月）,3条（截至2020年4月）,4个（截至2020年4月）,1.3363万人次（2019年）,0.0吨（2019年）,184架次（2019年）,重庆机场集团有限公司 重庆巫山神女峰机场有限公司,,,,,,,,,,,,,,,,,,,,,,
塔什库尔干红其拉甫机场,Tashikuergan Hongqilafu Airport,ZWTK,HQL,2022年12月23日,中国新疆维吾尔自治区喀什地区,4C,军民合用机场,中国民用航空新疆管理局,3005 m² （截至2022年12月）,4 个 （截至2022年12月）,3800 m （截至2022年12月）,1 条 （2022/2023年冬春航季）,1座（2022/2023年冬春航季）,15787 人次 （2023年）,1.1 吨 （2023年）,256架次（2023年）,新疆机场（集团）有限责任公司塔什库尔干机场,,,,,,,,,,,,,,,,,,,,,,
重庆仙女山机场,Chongqing Xiannvshan Airport,ZUWL,CQW,2020年12月18日,中国重庆市武隆区,4C,民用运输机场,中国民用航空西南地区管理局,6000 m² （截至2020年12月）,6 个 （截至2020年12月）,2800 m （截至2020年12月）,4 条 （2021年夏秋航季）,5座 （2021年夏秋航季）,200 人次 （2020年）,,2架次（2020年）,重庆机场集团有限公司,万州、梁平、永川,,,,,,,,,,,,,,,,,,,,,
海北祁连机场,Haibei Qilian Airport,ZLHB,HBQ,2018年8月28日,中国青海省 海北藏族自治州,4C级,民用运输机场,中国民用航空西北地区管理局,3000平方米（截至2018年8月）,4个（截至2018年8月）,3400米（截至2018年8月）,1 条 （截至2020年8月）,1个（截至2020年8月）,31566 人次 （2019年）,141.7吨（2019年）,536架次（2019年）,西部机场集团有限公司 青海机场有限公司祁连机场分公司,,,,,,,,,,,,,,,,,,,,,,
宁蒗泸沽湖机场,Ninglang Luguhu Airport,ZPNL,NLH,2015年10月12日,中国云南省,4C级,民用运输机场,中国民用航空西南地区管理局,5000平方米（截至2015年10月）,4个（截至2015年10月）,3400米（截至2015年10月）,5条（截至2018年9月）,4个（截至2018年9月）,21.6万人次（2019年）,62吨（2019年）,2168架次（2019年）,云南机场集团 有限责任公司,,,,,,,,,,,,,,,,,,,,,,
嘉兴南湖机场,Jiaxing Nanhu Airport,ZSJX,JNH,2025年12月26日,中国浙江省嘉兴市,4E,军民合用机场,中国民用航空华东地区管理局,25893 m² （截至2025年12月）,56 个 （截至2025年12月）,3400 m （截至2025年12月）,11 条,12座（2025/2026年冬春航季）,,,,浙江省机场集团有限公司 浙江省嘉兴机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
甘孜康定机场,Ganzi Kangding Airport,ZUKD,KGT,2008年10月22日,中国四川省甘孜藏族自治州,4C级,民用运输机场,中国民用航空西南地区管理局,5500平方米（截至2020年4月）,3个（截至2020年4月）,4000米（截至2020年4月）,3条（截至2020年5月）,4个（截至2020年5月）,5.5020万人次（2019年）,17.3吨（2019年）,1290架次（2019年）,四川康定机场集团有限责任公司 四川航空公司,,,,,,,,,,,,,,,,,,,,,,
日喀则定日机场,Rikaze/Xigaze Dingri  Airport,ZUDR,DDR,2022年12月24日,中国西藏自治区日喀则市,4C,军民合用机场,中国民用航空西南地区管理局,4000 m² （截至2022年12月）,5 个 （截至2022年12月）,4500 m （截至2022年12月）,1 条 （2023年夏秋航季）,2座（2023年夏秋航季）,67 人次 （2022年）,0.6 吨 （2022年）,2架次（2022年）,民航西藏自治区机场集团有限公司日喀则定日机场分公司,,,,,,,,,,,,,,,,,,,,,,
山南隆子机场,Shannan Longzi Airport,ZUSH,LGZ,2022年12月23日,中国西藏自治区山南市,4C,军民合用机场,中国民用航空西南地区管理局,4080 m² （截至2022年12月）,5 个 （截至2022年12月）,4500 m （截至2022年12月）,1 条 （2022/2023年冬春航季）,2座（2022/2023年冬春航季）,64 人次 （2022年）,,2架次（2022年）,民航西藏自治区机场集团有限公司隆子机场分公司,,,,,,,,,,,,,,,,,,,,,,
和静巴音布鲁克机场,Hejing Bayinbuluke Airport,ZWHJ,HJB,2024年8月17日,中国新疆维吾尔自治区巴音郭楞蒙古自治州和静县,4C,民用运输机场,中国民用航空新疆管理局,3500 m² （截至2024年8月）,6 个 （截至2024年8月）,3000 m （截至2024年8月）,1 条 （2024年夏秋航季）,1座（2024年夏秋航季）,,,,和静县巴音布鲁克民用机场建设管理有限责任公司,,,,,,,,,,,,,,,,,,,,,,
阿勒泰雪都机场,Aletai Xuedu Airport,ZWAT,AAT,1956年10月12日,中国新疆维吾尔自治区阿勒泰地区,4C,民用运输机场,中国民用航空新疆管理局,12375 m² （截至2022年1月）,10 个 （截至2022年1月）,2800 m （截至2022年1月）,15 条 （2021/2022年冬春航季）,13座（2021/2022年冬春航季）,284230 人次 （2020年）,172.8 吨 （2020年）,7520架次（2020年）,新疆机场（集团）有限责任公司,,,,,,,,,,,,,,,,,,,,,,
惠州平潭机场,Huizhou Pingtan Airport,ZGHZ,HUZ,2015年2月5日,中国广东省 惠州市,4C,军民合用机场,中国民用航空中南地区管理局,约 21000 m² [4] （截至2017年5月）,14 个 [1] [9] （截至2017年5月）,2400 m （1条，截至2018年7月）,52 条 （2025年夏秋航季）,41 （2025年夏秋航季）,287.6 万人次 （2024年）,9355 吨 （2024年）,15110架次 （2018年）,广东省机场管理集团公司,,,,,,,,,,,,,,,,,,,,,,
阿克苏红旗坡机场,Aksu Hongqipo Airport,ZWAK,AKU,1972年8月,中国新疆维吾尔自治区阿克苏地区,4C,军民合用机场,中国民用航空新疆管理局,25437 m² （截至2022年1月）,15 个 （截至2022年1月）,2800 m （截至2022年1月）,26 条 （2024年夏秋航季）,27 （2024夏秋航季）,1623187 人次 （2021年）,7050.7 吨 （2021年）,16967架次（2021年）,新疆机场（集团）有限责任公司 阿克苏（图木舒克、阿拉尔）机场,,,,,,,,,,,,,,,,,,,,,,
安顺黄果树机场,Anshun Huangguoshu Airport,ZUAS,AVA,2004年9月28日,中国贵州省安顺市,4C级,民用运输机场,中国民用航空西南地区管理局,1800平方米（截至2020年3月）,2个（截至2020年3月）,2800米（截至2020年3月）,2 条 （2022年夏秋航季）,2座（2022年夏秋航季）,69293 人次 （2021年）,2.3 吨 （2021年）,967架次（2021年）,安顺黄果树机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
鞍山腾鳌机场,Anshan Teng&#x27;ao Airport,ZYAS,AOG,2010年4月1日,中国辽宁省鞍山市,4C级,军民合用机场,中国民用航空东北地区管理局,2667.13平方米（截至2020年4月）,3个（截至2020年4月）,2600米（截至2020年6月）,5 条 （2022年夏秋航季）,5座（2022年夏秋航季）,176907 人次 （2021年）,,2192架次（2021年）,辽宁省机场管理集团有限公司 鞍山机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
安庆天柱山机场,Anqing Tianzhushan Airport,ZSAQ,AQG,1993年12月22日,中国安徽省安庆市,4C级,军民合用机场,中国民用航空华东地区管理局,13928 m² （截至2022年7月）,6 个 （截至2022年7月）,2800米（截至2020年1月）,9 条 （2022年夏秋航季）,13座（2024年夏秋航季）,596482 人次 （2021年）,2899.4 吨 （2021年）,7226架次（2021年）,海南机场设施股份有限公司 安庆天柱山机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
安阳红旗渠机场,Anyang Hongqiqu Airport,ZHQQ,HQQ,2023年11月29日,中国河南省安阳市,4C,民用支线机场 [31],中国民用航空中南地区管理局,6122.9 m² （截至2023年11月）,7 个 （截至2023年11月）,2600 m （截至2023年11月）,3 条 （2023/2024年冬春航季）,4座 （2023/2024年冬春航季）,,,,安阳红旗渠机场运营有限公司 河南省机场集团有限公司,,13.66亿元 [31],,,,,,,,,,,,,,,,,,,,
包头东河国际机场,Baotou Donghe International  Airport,ZBOW,BAV,1934年,中国内蒙古自治区包头市,4C,民用运输机场,中国民用航空华北地区管理局,42000 m² （截至2023年12月）,13 个 （截至2023年12月）,2800 m （截至2023年12月）,23 条 （2024/2025年冬春航季）,31座（2024/2025年冬春航季）,1983799 人次 （2023年）,3531.3 吨 （2023年）,20684架次（2023年）,内蒙古民航机场集团有限责任公司包头分公司,,,,,,,,,,,,,,,,,,,,,,
毕节飞雄机场,Bijie Feixiong Airport,ZUBJ,BFJ,2013年6月16日,中国贵州省毕节市,4C,民用运输机场,中国民用航空西南地区管理局,7100 m²,8 个,2600 m,,13个 （截至2023年3月）,20.34 万人次 （2022年）,135.08 吨 （2022年）,2976架次 （2022年）,毕节飞雄机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
赣州黄金机场,Ganzhou Huangjin Airport,ZSGZ,KOW,2008年3月26日,中国江西省赣州市,4C级,民用运输机场,中国民用航空华东地区管理局,32524 m² （截至2021年12月）,18 个 （截至2021年12月）,2600 m （截至2021年12月）,18 条 （2024年夏航季）,21座（2024年夏航季）,1808479 人次 （2021年）,4623.4 吨 （2021年）,17635架次（2021年）,首都机场集团公司 江西省机场集团公司赣州机场分公司 赣州航空发展服务有限责任公司,,,,,,,,,,,,,,,,,,,,,,
北海福成机场,Beihai Fucheng Airport,ZGBH,BHY,1987年3月15日,中国广西壮族自治区北海市,4D级,民用运输机场,中国民用航空中南地区管理局,27800 m² （截至2020年12月）,20 个 （截至2020年12月）,3200 m （截至2020年12月）,27 条 （2022/2023年冬春航季）,29座（2022/2022年冬春航季）,1889903 人次 （2021年）,7153.3 吨 （2021年）,16174架次（2021年）,广西机场管理集团有限责任公司 北海机场公司,,,,,,,,,,,,,,,,,,,,,,
昌都邦达机场,Qamdo Bangda Airport,ZUBD,BPX,1995年4月28日,中国西藏自治区昌都市,4C级,军民合用机场,中国民用航空西南地区管理局,5018.32 m² （截至2023年4月）,4 个 （截至2023年4月）,4500 m （截至2023年4月）,7 条 （2023年夏秋航季）,4座（2023年夏秋航季）,265440 人次 （2022年）,854.4 吨 （2022年）,3220架次（2022年）,民航西藏自治区机场集团有限公司 民航西藏自治区机场集团有限公司昌都邦达机场分公司,,,,,,,,,,,,,,,,,,,,,,
保山云瑞机场,Baoshan Yunrui Airport,ZPBS,BSD,1958年4月1日,中国云南省保山市,4C级,民用运输机场,中国民用航空西南地区管理局,27550 m² （截至2021年6月）,14 个 （截至2021年6月）,2400 m （截至2021年6月）,11 条 （2022/2023年冬春航季）,9座（2022/2023年冬春航季）,1016445 人次 （2021年）,1708.9 吨 （2021年）,11663架次（2021年）,云南机场集团有限责任公司,,,,,,,,,,,,,,,,,,,,,,
广州白云国际机场,Guangzhou Baiyun International Airport,ZGGG,CAN,2004年8月5日 [14],中国广东省广州市,4F,民用运输机场,中国民用航空中南地区管理局,1561000 m² （截至2023年11月）,269 个 （截至2020年1月）,3800 m [712] （3600米、3800米、3800米、3400米，3600米，共5条）,约 400 条 [63] （多）,233个 [63] [192],7636.9 万人次 [322] （2024年）,238.19 万吨 （2024年）,51.19万架次 （2024年）,广州白云国际机场股份有限公司,,,,,,,,,,,,,,,,,,,,,,
常德桃花源机场,Changde Taohuayuan Airport,ZGCD,CGD,1965年4月15日,中国湖南省常德市,4D级,民用运输机场,中国民用航空中南地区管理局,20165平方米（截至2020年4月）,13个（截至2020年4月）,2600米（截至2020年4月）,12 条 （2022/2022年冬春航季）,17座（2022/2023年冬春航季）,1008348 人次 （2021年）,458.7 吨 （2021年）,60030架次（2021年）,湖南省机场管理集团有限公司,,,,,,,,,,,,,,,,,,,,,,
郑州新郑国际机场,Zhengzhou Xinzheng International Airport,ZHCC,CGO,1997年8月28日,中国河南省郑州市新郑市、中牟县（处郑州航空港经济综合实验区代管范围内）,4F级,民用机场,中国民用航空局中南地区管理局,620000 m²,158个（截至2015年12月）,3400米、3600米，共2条（截至2018年4月）,182 条 [1] （客运截至2023年10月） 34 条 （货运截至2023年10月）,客运116个、货运40个（截至2018年12月）,2851.09 万人次 [181] （2024年）,82.51 万吨 [181] （2024年）,17.86万架次（2020年）,河南省机场集团有限公司,,,,,,,,,,,,,,,,,,,,,,
长春龙嘉国际机场,Changchun Longjia International Airport,ZYCC,CGQ,2005年8月27日,中国吉林省长春市,4E,民用运输机场,中国民用航空东北地区管理局,204000 m² （截至2021年2月）,61 个 （截至2021年2月）,3200 m （共1条，截至2021年2月）,149 条 （2024年夏航季）,81座 （2024年夏航季）,15483709 人次 （2023年）,92333.4 吨 （2023年）,114212架次 （2023年）,首都机场集团有限公司 吉林省民航机场集团公司,,,,,,,,,,,,,,,,,,,,,,
朝阳机场,Chaoyang Airport,ZYCY,CHG,2008年4月1日,中国辽宁省朝阳市,4C级,中国国内支线机场,中国民用航空东北地区管理局,2309 m²,2 个,2150 m,2 条,2个（截至2020年）,15.7973万（2019年）,19.7吨（2019年）,10.4750万架次（2019年）,辽宁省机场管理集团有限公司,,,,,,,,,,,,,,,,,,,,,,
嘉峪关酒泉机场,Jiayuguan Airport,ZLJQ,JGN,1953年7月1日,中国甘肃省嘉峪关市,4D,民用运输机场,中国民用航空西北地区管理局,8300平方米（截至2020年2月）,9个（截至2020年2月）,3000米（截至2020年2月）,9 条 （2023年夏秋航季）,9座（2023年夏秋航季）,384831 人次 （2022年）,658.4 吨 （2022年）,4714架次（2022年）,甘肃省民航机场集团有限公司 甘肃省民航机场集团公司嘉峪关机场公司,,,,,,,,,,,,,,,,,,,,,,
赤峰玉龙机场,Chifeng Yulong Airport,ZBCF,CIF,2008年3月20日,中国内蒙古自治区赤峰市,4C级,军民合用机场,中国民用航空局华北地区管理局,31534.89 m² （截至2022年8月）,17 个 （截至2022年8月）,2800 m （截至2022年8月）,29 条 [31] （2022年夏秋航季）,31座 [41],2049500 人次 [36] （2024年）,1855.5 吨 [36] （2024年）,2.29万架次 [36] （2024年）,首都机场集团有限公司 内蒙古自治区民航机场集团有限公司 内蒙古赤峰民航机场集团有限公司,,,,,,,,,,,,,,,,,,,,,,
长治王村机场,Changzhi Wangcun Airport,ZBCZ,CIH,2003年9月8日,中国山西省长治市,4C级,军民合用机场,中国民用航空华北地区管理局,22100 m² （截至2021年10月）,9 个 （截至2021年10月）,2440 m （截至2021年10月）,8 条 （2023年夏秋航季）,11座（2023年夏秋航季）,496629 人次 （2023年）,213 吨 （2023年）,6422架次 （2023年）,山西航空产业集团有限公司 长治机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
重庆江北国际机场,Chongqing Jiangbei International Airport,ZUCK,CKG,1990年1月22日,中国 重庆市 两江新区 [353],4F,民用运输机场,中国民用航空西南地区管理局,737000 m² [1] （截至2017年8月）,209 个 （截至2017年8月）,,国内247条（客244条、货3条，截至2018年12月） [12] 国际及地区82条（客68条、货14条，截至2018年12月） [12],184个 （截至2018年10月）,4465.72 万人次 [205] （2023年）,50 万吨 [360] （2025年）,314697 [205] （2023年）,重庆机场集团有限公司,,,3200、3600、3800、3400米（共4条，截至2024年12月） [266],江北机场T2航站楼站 ： 重庆轨道交通3号线 、 重庆轨道交通10号线 ； 江北机场T3航站楼站 ： 重庆轨道交通10号线 、 重庆轨道交通15号线 （在建线路中）,重庆东环铁路 江北机场站,重庆江北国际机场单轨捷运系统 ：T3A-T3B,,,,,,,,,,,,,,,,
长海大长山岛机场,Changhai Dachangshandao Airport,ZYCH,CNI,2008年2月2日,中国辽宁省大连市长海县,1B,民用运输机场,中国民用航空东北地区管理局,844 m² （截至2020年8月）,2 个 （截至2020年8月）,800 m （截至2020年8月）,1 条 （截至2021年2月）,1座（截止2021年2月）,3260人次（2019年）,,436架次（2019年）,大连国际机场集团有限公司 大连长海机场有限公司,,,,,,,,,,,,,,,,,,,,,,
长沙黄花国际机场,Changsha Huanghua International Airport,ZGHA,CSX,1989年8月29日,中国湖南省长沙市,4E [189],民用运输机场,中国民用航空中南地区管理局,266000 m² （截至2021年2月）,87 个 （截至2021年7月）,3200米、3800米，共2条（截至2020年5月）,194 条 （2021年夏秋航季）,128个（2024年冬春航季）,3000 万人次 [214] （2024年）,20.91 万吨 （2021年）,16.30万架次,湖南省机场管理集团有限公司 湖南机场股份有限公司长沙黄花国际机场分公司,,,,,,,湖南航空（A6）、快线航空（HN）,,,,,,,,,,,,,,,
成都双流国际机场,Chengdu Shuangliu International Airport,ZUUU,CTU,1938年,四川省成都市双流区,4F,民用运输机场,中国民用航空西南地区管理局,500000 m² （截至2016年）,228 个 （截至2020年1月）,3600 m （共2条，截至2016年）,374 条 [7] （截至2021年12月）,,4011.7 万人次 [56] （2021年）,62.8 万吨 [56] （2021年）,30.09万架次 [56] （2021年）,四川省机场集团有限公司,,,,,,,,四川省成都市双流区机场路,,,,,,,,,,,,,,
常州奔牛国际机场,Changzhou Benniu International Airport,ZSCG,CZX,1986年3月15日,中国江苏省常州市、镇江市,4E,军民合用机场,中国民用航空华东地区管理局,38057 m² （截至2025年9月）,20 个 （截至2025年9月）,3400 m （截至2025年9月）,,45座（2025年夏秋航季）,4562418 人次 （2024年）,20762.4 吨 （2024年）,46379架次（2024年）,东部机场集团有限公司 常州奔牛国际机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
大同云冈国际机场,Datong Yungang  International Airport,ZBDT,DAT,2005年12月25日,中国山西省大同市,4C级,民用运输机场,中国民用航空华北地区管理局,17182 m² （截至2024年3月）,9 个 （截至2024年3月）,3000 m （截至2024年3月）,14 条 （2023/2024年冬春航季）,25座 [35],359619 人次 （2022年）,620.3 吨 （2022年）,13474架次（2021年）,山西航空产业集团有限公司 大同机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
达州金垭机场,Dazhou Jinya Airport,ZUDA,DZH,2022年5月19日,中国四川省达州市,4C级,民用运输机场,中国民用航空西南地区管理局,31600 m² （截至2022年5月）,16 个 （截至2022年5月）,2600 m （截至2023年5月）,37 条 [24] （截至2024年5月18日）,37 （截至2024年5月18日）,100.03 万人次 [35] [47] （2024年）,1521 吨 [35] [49] （2024年）,16365架次 [35] [49] （2024年）,四川省机场集团有限公司,,,,,,,,,,,,,,,,,,,,,,
丹东浪头机场,Dandong Langtou Airport,ZYDD,DDG,1985年12月21日,中国辽宁省丹东市,4C级,军民合用机场,中国民用航空东北地区管理局,20780平方米（截至2020年4月）,6个（截至2020年4月）,2600米（截至2020年4月）,7 条 （截至2021年1月）,8座（截至2021年1月）,25.9048万人次（2019年）,652.1吨（2019年）,2053架次（2019年）,辽宁省机场管理集团有限公司,,,,,,,,,,,,,,,,,,,,,,
锦州锦州湾机场,Jinzhou Jinzhouwan Airport,ZYJZ,JNZ,2015年12月10日,中国辽宁省锦州市,4C级,民用运输机场,中国民用航空东北地区管理局,1万平方米（截至2020年3月）,6个（截至2020年3月）,2500米（截至2020年3月）,8条（截至2020年5月）,11个（截至2020年5月）,38.5467万人次（2019年）,801.0吨（2019年）,3248架次（2019年）,辽宁省机场管理集团有限公司 锦州湾机场管理有限责任公司,,,,,,,,,,,,,,,,,,,,,,
大连周水子国际机场,Dalian Zhoushuizi International Airport,ZYTL,DLC,1972年10月6日,中国辽宁省大连市甘井子区,4E,民用运输机场,中国民用航空东北地区管理局,152000 m² （截至2025年10月）,80 个 （截至2025年10月）,3300 m （截至2025年10月）,,98座（2025/26年冬春航季）,19288910 人次 （2024年）,160749.3 吨 （2024年）,144447架次（2024年）,大连国际机场集团有限公司,,,,,,,,,,,,,,,,,,,,,,
大理凤仪机场,Dali Fengyi Airport,ZPDL,DLU,1995年11月28日,中国云南省大理白族自治州,4C,民用运输机场,中国民用航空西南地区管理局,21819.81 m² （截至2022年10月）,17 个 （截至2022年10月）,2600 m （截至2022年10月）,26 条 （2022/2023年冬春航季）,16座（2022/2023年冬春航季）,1420494 人次 （2021年）,6651.0 吨 （2021年）,15999架次（2021年）,云南机场集团有限责任公司大理机场公司,,,,,,,,,,,,,,,,,,,,,,
敦煌莫高国际机场,Dunhuang Mogao International Airport,ZLDH,DNH,1982年7月,中国甘肃省酒泉市敦煌市,4D,民用运输机场,中国民用航空西北地区管理局,17774 m² （截至2021年2月）,20 个 （截至2021年2月）,3400 m （截至2021年2月）,29 条 （2023年夏秋航季）,22座（2023年夏秋航季）,90.20 万人次 （2019年）,606.8 万吨 （2019年）,8201架次 （2019年）,甘肃省民航机场集团有限公司敦煌莫高国际机场公司,,,,,,,,,,,,,,,,,,,,,,
鄂尔多斯伊金霍洛国际机场,Ordos Ejin Horo International Airport,ZBDS,DSN,2007年7月26日,中国内蒙古自治区鄂尔多斯市,4E,民用运输机场,中国民用航空华北地区管理局,105300 m² （截至2021年5月）,19 个 （截至2021年5月）,3200 m （截至2021年5月）,38 条 （2022年夏秋航季）,41座 （2022年夏秋航季）,1502958 人次 （2021年）,7283.5 吨 （2021年）,29828架次 （2021年）,鄂尔多斯机场管理集团有限公司 鄂尔多斯伊金霍洛国际机场有限公司,,,,,,,,,,,,,,,,,,,,,,
张家界荷花国际机场,Zhangjiajie Hehua International Airport,ZGDY,DYG,1994年8月18日,中国湖南省张家界市,4D级,民用运输机场,中国民用航空中南地区管理局,46529 m² [33] （截至2024年7月）,19 个 [33] （截至2024年7月）,2600 m [33] （截至2024年7月）,,28个（截至2019年10月）,127.84 万人次 （2020年）,0.11 万吨 （2020年）,1.35万架次 （2020年）,湖南省机场管理集团有限公司张家界荷花国际机场分公司,,,,,,,,,,,,,,,,,,,,,,
恩施许家坪国际机场,Enshi Xujiaping International Airport,ZHES,ENH,1993年11月28日,中国湖北省恩施土家族苗族自治州,4C,民用运输机场,中国民用航空中南地区管理局,15319平方米（截至2020年3月）,6个（截至2020年3月）,2600米（截至2020年3月）,18 条 （2025年夏秋航季）,25座（2025年夏秋航季）,1787408 人次 （2024年）,1994.1 吨 （2024年）,15752架次（2024年）,湖北机场集团公司 恩施分公司,,,,,,,,,,,,,,,,,,,,,,
