中文名,外文名,ICAO代码,IATA代码,通航日期,所属地区,飞行区等级,机场类型,地区管理,航站楼面积,机位数量,跑道长度,航线数量,通航城市,旅客吞吐量,货邮吞吐量,起降架次,运营机构,开通城市,总投资,跑&nbsp;&nbsp;&nbsp;&nbsp;道,轨道交通线路站点,铁&nbsp;&nbsp;&nbsp;&nbsp;路,旅客捷运系统,枢纽航司,地&nbsp;&nbsp;&nbsp;&nbsp;址,安全管理机构,设计旅客年吞吐量,设计货邮年吞吐量,东跑道长度,西跑道长度,跑道宽度,客运航线,地理位置,始建时间,航站楼数量,机场地址,通航时间,机场代码,机场性质
湛江吴川国际机场,Zhanjiang Wuchuan  International Airport,ZGZJ,ZHA,2022年3月24日,中国广东省湛江市,4E,民用运输机场,中国民用航空中南地区管理局,61800 m² （截至2023年9月）,30 个 （截至2023年9月）,3200 m （截至2023年9月）,40 条 （2023年夏秋航季）,39座 （2023年夏秋航季）,274 万人次 （2023年）,7282 吨 （2023年）,,广东省机场管理集团有限公司湛江机场公司,,,,,,,,,,,,,,,,,,,,,,
中卫沙坡头机场,Zhongwei ShapotouAirport,ZLZW,ZHY,2008年12月26日,中国宁夏回族自治区中卫市,4C级,民用运输机场,中国民用航空西北地区管理局,3300平方米（截至2020年4月）,5个（截至2020年4月）,2800米（截至2020年4月）,7 条 （2022年夏秋航季）,11座（2022年夏秋航季）,216414 人次 （2021年）,931.9 吨 （2021年）,51358架次（2021年）,西部机场集团宁夏机场有限公司中卫分公司,,,,,,,,,,,,,,,,,,,,,,
珠海金湾机场,Zhuhai Jinwan Airport,ZGSD,ZUH,1995年6月18日 [27],中国广东省珠海市,4E,民用运输机场,中国民用航空中南地区管理局,91600 m² （截至2017年12月）,33 个 [41],4000 m （共1条，（截至2017年12月））,120 条 （截至2017年12月）,78个 （截至2024年4月）,1325 万人次 [24] [76] （2025年）,3.8 万吨 [24] （2020年）,6.6万架次 [24] （2020年）,珠海市珠港机场管理有限公司,,,,,,,,,,,,,,,,,,,珠海市金湾区三灶镇西南端,,,
遵义新舟机场,Zunyi Xinzhou Airport,ZUZY,ZYI,2012年8月28日,中国贵州省遵义市,4C级,军民合用机场 [20],中国民用航空西南地区管理局,1.06万平方米（截至2019年5月）,5个（截至2019年5月）,2800米，共1条（截至2019年5月）,36条（截至2019年5月）,37个（截至2019年5月）,203.35万人次（2018年）,0.23万吨（2018年）,1.89万架次（2018年）,遵义机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
石河子花园机场,Shihezi Huayuan Airport,ZWHZ,SHF,2015年12月26日,中国新疆维吾尔自治区石河子市,4C级,民用运输机场,中国民用航空新疆管理局,3567.43 m² （截至2020年8月）,7 个 （截至2020年8月）,2800 m （截至2020年8月）,9 条 （2024年夏秋航季）,14 （2024年夏秋航季）,187249 人次 （2021年）,101.7 吨 （2021年）,33078架次（2021年）,石河子机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
广元盘龙机场,Guangyuan Panlong Airport,ZUGU,GYS,2000年9月28日,中国四川省广元市,4C级,民用运输机场,中国民用航空西南地区管理局,5000 m² （截至2020年9月）,4 个 （截至2020年9月）,2500 m （截至2020年9月）,10 条 （2022年夏秋航季）,14座（2022年夏秋航季）,459399 人次 （2021年）,574.5 吨 （2021年）,104091架次（2021年),四川省机场集团有限公司,,,,,,,,,,,,,,,,,,,,,,
阿拉尔塔里木机场,Alar Talimu Airport,ZWAL,ACF,2022年6月16日,中国新疆维吾尔自治区阿拉尔市,4C,民用运输机场,中国民用航空新疆管理局,5269 m² [24] （截至2026年1月）,10 个 [21] （截至2026年1月）,3200 m [21] （截至2026年1月）,16 条 （2022年夏秋航季）,16座 [21],50 万人次 [19] [24] （2025年）,401.3 吨 [19] （2024年）,7020架次（2024年） [19],新疆机场（集团）有限责任公司 阿克苏（图木舒克、阿拉尔）机场,,,,,,,,,,,,,,,,,,,,,,
迪庆香格里拉机场,Diqing Shangrila Airport,ZPDQ,DIG,1999年4月30日,中国云南省迪庆藏族自治州,4D级,民用运输机场,中国民用航空西南地区管理局,17073 m² （截至2020年9月）,10 个 （截至2020年9月）,3600 m （截至2020年9月）,8 条 （2023年夏秋航季）,6座（2023年夏秋航季）,61.7941万人次（2019年）,772.1吨（2019年）,6852架次（2019年）,云南机场集团有限责任公司,,,,,,,,,,,,,,,,,,,,,,
临沧博尚机场,Lincang Boshang Airport,ZPLC,LNJ,2001年3月25日,中国云南省临沧市,4C级,民用运输机场,中国民用航空西南地区管理局,6941 m² （截至2022年12月）,5 个 （截至2022年12月）,2400 m （截至2022年12月）,2 条 （2023年夏秋航季）,2座（2023年夏秋航季）,47.0174万人次（2019年）,720.2吨（2019年）,5028架次（2019年）,云南机场集团有限责任公司 临沧机场,,,,,,,,,,,,,,,,,,,,,,
东营胜利机场,Dongying Shengli Airport,ZSDY,DOY,2001年11月28日,中国山东省东营市,4D级,民用运输机场,中国民用航空华东地区管理局,25380 m² （截至2022年1月）,7 个 （截至2022年1月）,3600 m （截至2022年1月）,13 条 （2022年夏秋航季）,18座（2022年夏秋航季）,682129 人次 （2021年）,705.2 吨 （2021年）,31569架次（2021年）,山东省机场管理集团有限公司 东营胜利机场集团有限责任公司,,,,,,,,,,,,,,,,,,,,,,
永州零陵机场,Yongzhou Lingling Airport,ZGLG,LLF,2001年4月30日,中国湖南省永州市,4C级,军民合用机场,中国民用航空中南地区管理局,4706 m² （截至2021年1月）,6 个 （截至2021年1月）,2600 m （截至2020年1月）,2 条 （2023/2024年冬春航季）,3座（2023/2024年冬春航季）,155568 人次 （2024年）,2.4 吨 （2024年）,1450架次（2024年）,湖南省机场管理集团有限公司 湖南机场股份有限公司永州零陵机场分公司,,,,,,,,,,,,,,,,,,,,,,
九寨黄龙机场,Jiuzhai Huanglong Airport,ZUJZ,JZH,2003年9月28日,中国四川省阿坝州松潘县,4D,民用运输机场,中国民用航空西南地区管理局,2万平方米（截至2020年3月）,12个（截至2020年3月）,3400米（截至2020年3月）,14 条 （2021年夏秋航季）,12座（2021年夏秋航季）,150029 人次 （2021年）,16.9 吨 （2021年）,2222架次（2021年）,四川省机场集团有限公司 四川九寨黄龙机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
攀枝花保安营机场,Panzhihua Baoanying Airport,ZUZH,PZI,2003年12月6日,中国四川省攀枝花市,4C级,民用运输机场,中国民用航空西南地区管理局,3500 m² （截至2020年8月）,8 个 （截至2020年8月）,2800 m （截至2020年8月）,10 条 （截至2020年5月）,9座（截至2020年5月）,54.7023万人次（2019年）,1700.1吨（2019年）,5668架次（2019年）,四川省机场集团有限公司 攀枝花保安营机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
乌海机场,Wuhai Airport,ZBUH,WUA,2003年12月12日,中国内蒙古自治区乌海市,4C级,民用运输机场,中国民用航空华北地区管理局,12480平方米（截至2020年4月）,7个（截至2020年4月）,2600米（截至2020年4月）,14 条 （2023年夏秋航季）,18座（2023年夏秋航季）,52.4168万人次（2019年）,724.5吨（2019年）,5587架次（2019年）,内蒙古自治区民航机场管理集团有限责任公司 内蒙古乌海民航机有限责任公司,,,,,,,,,,,,,,,,,,,,,,
连城冠豸山机场,Liancheng Guanzhaishan Airport,ZSLO,LCX,2004年4月25日,中国福建省龙岩市连城县,4C,军民合用机场,中国民用航空华东地区管理局,6500 m² （截至2022年10月）,3 个 （截至2022年10月）,2400 m （截至2022年10月）,5 条 （2023年夏秋航季）,7座（2023年夏秋航季）,141785 人次 （2021年）,728.2 吨 （2021年）,1908架次 （2021年）,元翔（龙岩）冠豸山机场有限公司,,,,,,,,,,,,,,,,,,,,,,
兴义万峰林机场,Xingyi Wanfenglin Airport,ZUYI,ACX,2004年7月18日,中国贵州省黔西南州兴义市,4C,民用运输机场,中国民用航空西南地区管理局,15298平方米（截至2020年3月）,13个（截至2020年3月）,2800米（截至2020年3月）,21 条 （2024年夏航季）,25座（2024年夏航季）,1001683 人次 （2021年）,2039.6 吨 （2021年）,11783架次（2021年）,贵州省机场集团有限公司 兴义机场分公司,,,,,,,,,,,,,,,,,,,,,,
