"module name","license","repository"
"@resvg/resvg-js@2.4.1","MPL-2.0","https://github.com/yisibl/resvg-js"
"@rollup/plugin-babel@5.3.1","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-node-resolve@15.3.0","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-replace@2.4.2","MIT","https://github.com/rollup/plugins"
"@rollup/plugin-terser@0.4.4","MIT","https://github.com/rollup/plugins"
"@rollup/pluginutils@3.1.0","MIT","https://github.com/rollup/plugins"
"@rollup/pluginutils@4.2.1","MIT","https://github.com/rollup/plugins"
"@rollup/pluginutils@5.1.3","MIT","https://github.com/rollup/plugins"
"@rollup/rollup-win32-x64-msvc@4.27.4","MIT","https://github.com/rollup/rollup"
"@sec-ant/readable-stream@0.4.1","MIT","https://github.com/Sec-ant/readable-stream"
"@shikijs/core@1.22.2","MIT","https://github.com/shikijs/shiki"
"@shikijs/engine-javascript@1.22.2","MIT","https://github.com/shikijs/shiki"
"@shikijs/engine-oniguruma@1.22.2","MIT","https://github.com/shikijs/shiki"
"@shikijs/transformers@1.22.2","MIT","https://github.com/shikijs/shiki"
"@shikijs/types@1.22.2","MIT","https://github.com/shikijs/shiki"
"@shikijs/vscode-textmate@9.3.0","MIT","https://github.com/shikijs/vscode-textmate"
"@simonwep/pickr@1.8.2","MIT","https://github.com/Simonwep/pickr"
"@sindresorhus/merge-streams@2.3.0","MIT","https://github.com/sindresorhus/merge-streams"
"@sindresorhus/merge-streams@4.0.0","MIT","https://github.com/sindresorhus/merge-streams"
"@sugarat/theme-shared@0.0.3","MIT","https://github.com/ATQQ/sugar-blog"
"@surma/rollup-plugin-off-main-thread@2.2.3","Apache-2.0","https://github.com/surma/rollup-plugin-off-main-thread"
"@tokenizer/token@0.3.0","MIT","https://github.com/Borewit/tokenizer-token"
"@tootallnate/quickjs-emscripten@0.23.0","MIT","https://github.com/justjake/quickjs-emscripten"
"@trysound/sax@0.2.0","ISC","https://github.com/svg/sax"
"@turf/boolean-clockwise@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/clone@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/flatten@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/helpers@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/invariant@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/meta@3.14.0","MIT","https://github.com/Turfjs/turf"
"@turf/meta@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/rewind@6.5.0","MIT","https://github.com/Turfjs/turf"
